 ,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,      37,      38,      39,      40,      41,      42,      43,      44,      45,      46,      47,      48
A,   80692,   74927,   89367,   79916,   87309,   82195,   89897,   84920,   85475,   92143,   83465,   84120,   83762,   82738,   84029,   89108,   91757,   91783,   90466,   85842,   96925,   94524,   87951,   94228,   89474,   93548,   87867,   85642,   90548,   88799,   83113,   89175,   84079,   85275,   70595,   65791,   77912,   83353,   82590,   87648,   92485,   89541,   81948,   82542,   89654,   73421,     217,      30
B,   90129,  101271,   98355,   96531,   93111,   85393,   96508,   82713,   85160,   95198,   86183,   95059,   91326,   85882,   91188,   97105,  102540,   86589,   93212,   91702,   91882,   97444,   91033,   91758,   90616,   91342,   94064,   86784,   88780,   86215,   89764,   89255,   89749,   85401,   93225,   93916,   90347,   91227,   84106,   93496,   91641,   91426,   98409,   95698,   85385,   84731,     207,       5
C,   90778,   96595,   95856,   94482,   77205,   84713,   92734,   81307,   59346,   95656,   86171,   71540,   77206,   68257,   71445,   85049,   50648,   86489,   77625,   80079,   88516,   68132,   89451,   83380,   83671,   80903,   78058,   82040,   73398,   75269,   84407,   79041,   49667,   83710,   81045,   88925,   78827,   93667,   78541,   89969,   84071,   77827,   80974,   81818,   92745,   88229,     158,      66
D,   99144,   98428,   92204,   91616,   90072,   89105,   57750,   87053,   50633,   82770,   84500,   77960,   87433,   77445,   82663,   88401,   49302,   69337,   50999,   74746,   94401,   72120,   49427,   63420,   81234,   86286,   77773,   75903,   52964,   76038,   82363,   69096,   72549,   82921,   67269,   82901,   82059,   85472,   85922,   88804,   87644,   86497,   78477,   82874,   78206,   89295,     181,      28
E,   83640,   97304,   91940,   86016,   79796,   74249,   87971,   67103,   82670,   83494,    9895,   77768,   83255,   47609,   88976,   83904,   86524,   77950,   68075,   64300,   86204,   74096,   72889,   50310,   83505,   37996,   81320,   76322,   87333,   73246,   83915,   77178,   86126,   80266,   78807,   80168,   84341,   81344,   86449,   81955,   89748,   73200,   81658,   86593,   90170,   84924,     117,     125
F,   91627,   92907,   99071,   86996,   82432,   83520,   31122,     691,   89460,   86057,   64062,   81304,   91525,   79257,   84035,   79094,   81313,   88082,   88376,   89504,  100515,   89181,   65602,   95331,   68710,   88081,   53088,   79667,   63880,   80528,   46793,   82460,   73782,   54718,   45275,   94656,   69328,   85493,   82977,   92865,   94045,   90862,   93996,   88173,   93400,   85715,     220,      35
G,   93371,   96511,  106749,   86439,   53802,   85653,   89591,   66345,   86147,   88023,   94090,   56505,   87651,   91217,   86787,   86138,   78836,   86461,   89437,   46145,   83265,   86224,   90377,   46087,   56334,   95480,   86815,   50184,   84668,   92370,   89916,   78483,   85465,   75189,   89524,   69007,   82638,   89877,   95296,   92445,   92118,   92060,   89758,   87195,   86569,   86484,     284,      64
H,   91567,   98337,   89175,   96320,   85572,   83858,   64585,   73950,   96711,   88165,   79670,   61758,   93637,   89466,   79569,   81960,   54576,   95256,   64115,   73526,   87301,   94387,   69890,   70982,   98127,   92738,   89803,   84575,   83493,   61086,   88490,   95630,   90234,   87233,   91445,   83567,   92825,   98719,   99960,   96798,   86642,   97632,   88865,   89924,   87282,   85827,     216,      24
I,   86923,   96879,   83653,   81342,   82461,   72802,   64156,   63948,    1952,   77178,   83503,   83634,   63339,   71065,   61104,   48746,   75813,   74782,   57473,   79819,   83301,   73916,   56445,   74875,   52751,   80220,   68434,   63429,   81715,   76798,   84139,   82039,   79417,   65531,   88708,   86680,   85487,   92490,   93432,   94618,   95721,   85069,   47834,   75129,   89002,   90335,     227,      29
J,   88997,   97167,   91512,   84186,   75032,   46135,   87899,   69415,   83452,   84015,   80308,   88590,   70533,   85334,   78250,   75955,   83543,   85584,   79480,   85014,   81244,   48322,   73694,   85001,   70595,   80504,   70830,   83102,   68826,   58505,   94406,   73920,   82191,   94243,   60633,   88562,   90098,   84877,   91788,   81981,   96498,   93344,   92458,   71019,   94902,   86894,     214,      54
