 ,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,      23,      24,      25,      26,      27,      28,      29,      30,      31,      32,      33,      34,      35,      36,      37,      38,      39,      40,      41,      42,      43,      44,      45,      46,      47,      48
A,   86649,   87509,   87674,   88130,   89657,   95618,   94245,   92801,   92045,   86360,   90875,   92475,   91422,   89856,   88816,   88612,   91691,   86443,   95935,   92972,   98526,   95761,   90199,   89679,   85916,   88215,   84706,   88782,   90035,   95716,   89513,   88718,   88762,   75685,   82600,   86886,   94150,   86130,   93128,   85608,   74858,   88649,   80208,   88235,   81748,   84983,     185,      35
B,   95014,   99134,   94841,   94139,   95536,   88967,   97920,   94735,  100435,   94410,   92592,   98265,   90198,   95127,   93191,   88059,   89707,   88527,   86616,   90083,   97746,   89395,   92404,   92607,   90933,   89198,   84374,   89919,   90918,   86698,   90478,   87648,   91709,   85720,   88886,   96842,   90585,   91588,   94738,   89581,   85841,   65959,  113404,   90850,   87664,   88852,     299,      46
C,  103500,  106787,   95830,   92659,   82143,   85536,   93957,   93007,   52412,   93333,   89199,   76874,   85191,   67601,   67095,   72461,   45985,   87249,   95188,   85502,   87111,   71652,   87287,   85827,   82358,   87773,   81026,   76529,   84432,   87519,   82025,   80969,   49787,   90731,   83587,   93165,   82803,   85057,   78011,   88881,   85592,   84823,   78982,   86467,   91299,   82354,     282,      22
D,   93442,   88974,   94035,   93985,   86713,   83031,   74532,   91117,   52957,   84419,   83160,   80984,   83713,   75804,   87108,   87130,   46862,   67087,   55086,   72681,   97081,   76339,   48337,   72319,   93245,   85869,   83217,   77645,   50423,   78523,   91536,   69131,   73165,   81043,   79837,   90410,   87855,   90773,   91336,   80566,   78246,   82890,   87230,   86645,   88767,   91337,     248,      17
E,   91147,   82747,   81852,   84497,   83368,   77092,   88737,   67528,   81098,   79773,    8576,   83101,   83980,   44862,   87374,   79705,   88878,   83515,   66549,   67359,   91283,   71795,   83576,   50819,   89173,   44124,   90007,   77699,   88246,   75754,   83984,   86175,   91936,   87681,   77723,   89892,   87082,   84449,   89139,   94995,   88562,   75845,   85434,   87232,   92900,   97765,     337,      41
F,   96653,   97246,   97678,  102691,   86337,   84065,   36877,     881,   92548,   88587,   70149,   80847,   89446,   75190,   97088,   81913,   83441,   92623,   86795,   95043,   85576,   93252,   70753,   93602,   72098,   84652,   51789,   86397,   68552,   87937,   50047,   86083,   85215,   59328,   49113,   88901,   68388,   94520,   81187,   92099,   94193,   89571,   84529,   91067,  101897,   91281,     234,      30
G,   98070,  104240,   99270,   90533,   46571,   87611,   88877,   68817,   85938,   89325,   85512,   52278,   82080,   86302,   86604,   93935,   90034,   84687,   89437,   45283,   84286,   89973,   86167,   49633,   65067,   89549,   83496,   52735,   85178,   91189,   94663,   91155,   95494,   82239,   82952,   62828,   89640,   91542,   94029,   92789,   86953,   96328,   91879,   96491,   92347,   95347,     283,      35
H,  102615,   96038,  100615,   94625,   88174,   85382,   68933,   81017,   83607,   89478,   68419,   67394,   87157,   84985,   80203,   81467,   53554,   89495,   68056,   72934,   94043,   88673,   59860,   71554,   96428,   83017,   87001,   86246,   86320,   66101,   87908,   87581,   93176,   94566,   91070,   93800,   95425,   96687,   99757,   89716,   91140,   91659,   97045,   87945,   94279,   84247,     159,      54
I,   87137,   98997,   89727,   89606,   90126,   75526,   77605,   63485,    1833,   77499,   93783,   84413,   68630,   73850,   63951,   52424,   78276,   76818,   57674,   79636,   88806,   84371,   59722,   73632,   48366,   73570,   73870,   65343,   75108,   74919,   88075,   95017,   94961,   71374,   93456,   85067,   88393,   92631,   93064,   92135,   90787,   89834,   54061,   81921,   94613,   91351,     263,      30
J,   96305,   93925,   97179,   82638,   82927,   57654,   90716,   70112,   85025,   84857,   83817,   85165,   72277,   91894,   88982,   78665,   85999,   89113,   73906,   82906,   81693,   50336,   80257,   81517,   66589,   70546,   66072,   93436,   70290,   64834,   87279,   78595,   79112,   93852,   67111,   89090,   85246,   82900,   87321,   84918,   91336,   91912,   90168,   74862,   96228,   90128,     236,      28
